gene_name	target_id	length	eff_length	est_counts	tpm	gene_id	transcript_name
A1BG	ENST00000263100.7|ENSG00000121410.11|OTTHUMG00000183507.2|OTTHUMT00000466930.1|A1BG-201|A1BG|1722|protein_coding|	1722	1500.73	0.0	0.0	ENSG00000121410.11	A1BG-201
A1CF	ENST00000374001.6|ENSG00000148584.14|OTTHUMG00000018240.5|OTTHUMT00000048085.3|A1CF-205|A1CF|9221|protein_coding|	9221	8999.73	2.0	0.00158866	ENSG00000148584.14	A1CF-205
A2M	ENST00000318602.11|ENSG00000175899.14|OTTHUMG00000150267.7|OTTHUMT00000317233.3|A2M-201|A2M|4844|protein_coding|	4844	4622.73	0.0	0.0	ENSG00000175899.14	A2M-201
A2ML1	ENST00000299698.11|ENSG00000166535.19|OTTHUMG00000128499.8|OTTHUMT00000250304.3|A2ML1-201|A2ML1|5274|protein_coding|	5274	5052.73	16.7512	0.0237002	ENSG00000166535.19	A2ML1-201
A3GALT2	ENST00000442999.3|ENSG00000184389.9|OTTHUMG00000004125.4|OTTHUMT00000011861.4|A3GALT2-201|A3GALT2|1023|protein_coding|	1023	801.731	0.0	0.0	ENSG00000184389.9	A3GALT2-201
A4GALT	ENST00000642412.1|ENSG00000128274.16|OTTHUMG00000150744.6|OTTHUMT00000319914.4|A4GALT-206|A4GALT|2141|protein_coding|	2141	1919.73	0.0	0.0	ENSG00000128274.16	A4GALT-206
A4GNT	ENST00000236709.3|ENSG00000118017.3|OTTHUMG00000159820.1|OTTHUMT00000357557.1|A4GNT-201|A4GNT|1771|protein_coding|	1771	1549.73	0.0	0.0	ENSG00000118017.3	A4GNT-201
AAAS	ENST00000209873.8|ENSG00000094914.12|OTTHUMG00000169729.4|OTTHUMT00000405632.1|AAAS-201|AAAS|1840|protein_coding|	1840	1618.73	3115.3	13.758	ENSG00000094914.12	AAAS-201
AACS	ENST00000316519.10|ENSG00000081760.16|OTTHUMG00000168550.3|OTTHUMT00000400202.1|AACS-201|AACS|3316|protein_coding|	3316	3094.73	326.764	0.754819	ENSG00000081760.16	AACS-201
AADAC	ENST00000232892.11|ENSG00000114771.13|OTTHUMG00000159876.2|OTTHUMT00000357883.2|AADAC-201|AADAC|1642|protein_coding|	1642	1420.73	0.0	0.0	ENSG00000114771.13	AADAC-201
AADACL2	ENST00000356517.3|ENSG00000197953.5|OTTHUMG00000155914.4|OTTHUMT00000342288.3|AADACL2-201|AADACL2|1487|protein_coding|	1487	1265.73	0.0	0.0	ENSG00000197953.5	AADACL2-201
AADACL3	ENST00000359318.7|ENSG00000188984.11|OTTHUMG00000001887.5|OTTHUMT00000005324.5|AADACL3-201|AADACL3|3662|protein_coding|	3662	3440.73	0.0	0.0	ENSG00000188984.11	AADACL3-201
AADACL4	ENST00000376221.1|ENSG00000204518.2|OTTHUMG00000001889.1|OTTHUMT00000005328.1|AADACL4-201|AADACL4|1575|protein_coding|	1575	1353.73	0.0	0.0	ENSG00000204518.2	AADACL4-201
AADAT	ENST00000502392.1|ENSG00000109576.13|OTTHUMG00000160912.4|OTTHUMT00000362953.2|AADAT-203|AADAT|806|protein_coding|	806	584.761	10.0	0.122251	ENSG00000109576.13	AADAT-203
AAGAB	ENST00000542650.5|ENSG00000103591.12|OTTHUMG00000172246.3|OTTHUMT00000417475.1|AAGAB-203|AAGAB|1015|protein_coding|	1015	793.731	892.3	8.03654	ENSG00000103591.12	AAGAB-203
AAK1	ENST00000606389.5|ENSG00000115977.18|OTTHUMG00000129648.9|OTTHUMT00000479113.1|AAK1-211|AAK1|8964|protein_coding|	8964	8742.73	645.366	0.527704	ENSG00000115977.18	AAK1-211
AAMDC	ENST00000526415.5|ENSG00000087884.14|OTTHUMG00000166651.2|OTTHUMT00000390976.1|AAMDC-206|AAMDC|579|protein_coding|	579	357.761	113.896	2.27587	ENSG00000087884.14	AAMDC-206
AAMP	ENST00000248450.8|ENSG00000127837.9|OTTHUMG00000155202.3|OTTHUMT00000338756.2|AAMP-201|AAMP|1886|protein_coding|	1886	1664.73	2805.11	12.0458	ENSG00000127837.9	AAMP-201
AANAT	ENST00000250615.7|ENSG00000129673.9|OTTHUMG00000180179.2|OTTHUMT00000450129.1|AANAT-201|AANAT|1913|protein_coding|	1913	1691.73	8.0	0.0338057	ENSG00000129673.9	AANAT-201
AAR2	ENST00000320849.8|ENSG00000131043.11|OTTHUMG00000032380.2|OTTHUMT00000276152.1|AAR2-201|AAR2|2430|protein_coding|	2430	2208.73	1442.35	4.66831	ENSG00000131043.11	AAR2-201
AARD	ENST00000378279.3|ENSG00000205002.3|OTTHUMG00000164961.1|OTTHUMT00000381195.1|AARD-201|AARD|2299|protein_coding|	2299	2077.73	7.51318	0.0258503	ENSG00000205002.3	AARD-201
AARS	ENST00000261772.12|ENSG00000090861.15|OTTHUMG00000177042.7|OTTHUMT00000435021.2|AARS-201|AARS|3477|protein_coding|	3477	3255.73	14650.8	32.1695	ENSG00000090861.15	AARS-201
AARS2	ENST00000244571.4|ENSG00000124608.4|OTTHUMG00000014766.3|OTTHUMT00000040741.2|AARS2-201|AARS2|3854|protein_coding|	3854	3632.73	3911.33	7.69702	ENSG00000124608.4	AARS2-201
AARSD1	ENST00000427569.6|ENSG00000266967.6|OTTHUMG00000153515.8|OTTHUMT00000467729.1|AARSD1-202|AARSD1|1322|protein_coding|	1322	1100.73	1340.13	8.70355	ENSG00000266967.6	AARSD1-202
AASDH	ENST00000205214.10|ENSG00000157426.13|OTTHUMG00000128841.5|OTTHUMT00000250780.1|AASDH-201|AASDH|3590|protein_coding|	3590	3368.73	491.441	1.04289	ENSG00000157426.13	AASDH-201
AASDHPPT	ENST00000278618.8|ENSG00000149313.10|OTTHUMG00000166253.2|OTTHUMT00000388734.1|AASDHPPT-201|AASDHPPT|2955|protein_coding|	2955	2733.73	2813.32	7.35691	ENSG00000149313.10	AASDHPPT-201
AASS	ENST00000393376.5|ENSG00000008311.14|OTTHUMG00000157058.1|OTTHUMT00000347300.1|AASS-202|AASS|3233|protein_coding|	3233	3011.73	0.0	0.0	ENSG00000008311.14	AASS-202
AATF	ENST00000619387.4|ENSG00000275700.4|OTTHUMG00000188458.2|OTTHUMT00000477299.1|AATF-208|AATF|2141|protein_coding|	2141	1919.73	6377.25	23.7479	ENSG00000275700.4	AATF-208
