gene_name	target_id	length	eff_length	est_counts	tpm	gene_id	transcript_name
A1BG	ENST00000263100.7|ENSG00000121410.11|OTTHUMG00000183507.2|OTTHUMT00000466930.1|A1BG-201|A1BG|1722|protein_coding|	1722	1484.82	4.66486	0.0608408	ENSG00000121410.11	A1BG-201
A1CF	ENST00000374001.6|ENSG00000148584.14|OTTHUMG00000018240.5|OTTHUMT00000048085.3|A1CF-205|A1CF|9221|protein_coding|	9221	8983.82	7.58128	0.0163422	ENSG00000148584.14	A1CF-205
A2M	ENST00000318602.11|ENSG00000175899.14|OTTHUMG00000150267.7|OTTHUMT00000317233.3|A2M-201|A2M|4844|protein_coding|	4844	4606.82	150.914	0.634393	ENSG00000175899.14	A2M-201
A2ML1	ENST00000541459.5|ENSG00000166535.19|OTTHUMG00000128499.8|OTTHUMT00000395845.1|A2ML1-207|A2ML1|3370|protein_coding|	3370	3132.82	7.15685	0.0442401	ENSG00000166535.19	A2ML1-207
A3GALT2	ENST00000442999.3|ENSG00000184389.9|OTTHUMG00000004125.4|OTTHUMT00000011861.4|A3GALT2-201|A3GALT2|1023|protein_coding|	1023	785.817	0.0	0.0	ENSG00000184389.9	A3GALT2-201
A4GALT	ENST00000642412.1|ENSG00000128274.16|OTTHUMG00000150744.6|OTTHUMT00000319914.4|A4GALT-206|A4GALT|2141|protein_coding|	2141	1903.82	66.0282	0.671635	ENSG00000128274.16	A4GALT-206
A4GNT	ENST00000236709.3|ENSG00000118017.3|OTTHUMG00000159820.1|OTTHUMT00000357557.1|A4GNT-201|A4GNT|1771|protein_coding|	1771	1533.82	0.0	0.0	ENSG00000118017.3	A4GNT-201
AAAS	ENST00000209873.8|ENSG00000094914.12|OTTHUMG00000169729.4|OTTHUMT00000405632.1|AAAS-201|AAAS|1840|protein_coding|	1840	1602.82	1337.17	16.1559	ENSG00000094914.12	AAAS-201
AACS	ENST00000316519.10|ENSG00000081760.16|OTTHUMG00000168550.3|OTTHUMT00000400202.1|AACS-201|AACS|3316|protein_coding|	3316	3078.82	1286.34	8.09096	ENSG00000081760.16	AACS-201
AADAC	ENST00000232892.11|ENSG00000114771.13|OTTHUMG00000159876.2|OTTHUMT00000357883.2|AADAC-201|AADAC|1642|protein_coding|	1642	1404.82	0.0	0.0	ENSG00000114771.13	AADAC-201
AADACL2	ENST00000356517.3|ENSG00000197953.5|OTTHUMG00000155914.4|OTTHUMT00000342288.3|AADACL2-201|AADACL2|1487|protein_coding|	1487	1249.82	0.0	0.0	ENSG00000197953.5	AADACL2-201
AADACL3	ENST00000359318.7|ENSG00000188984.11|OTTHUMG00000001887.5|OTTHUMT00000005324.5|AADACL3-201|AADACL3|3662|protein_coding|	3662	3424.82	0.0	0.0	ENSG00000188984.11	AADACL3-201
