Chromosome	Start	End	Name	Score	Cell	K562
chr1	920939	921379	NR2F6	643	HepG2,K562	True
chr1	974723	975180	NR2F6	366	HepG2,K562	True
chr1	1001803	1002253	NR2F6	326	K562	True
chr1	1058269	1058727	NR2F6	571	HepG2,K562	True
chr1	1064179	1064629	NR2F6	425	K562	True
chr1	1113433	1113883	NR2F6	401	K562	True
chr1	1145281	1145721	NR2F6	919	HepG2,K562	True
chr1	1156204	1156654	NR2F6	240	K562	True
chr1	1239755	1240268	NR2F6	1000	HepG2,K562	True
chr1	1375566	1376016	NR2F6	300	K562	True
chr1	1386948	1387398	NR2F6	696	K562	True
chr1	1433022	1433528	NR2F6	1000	HepG2,K562	True
chr1	1496011	1496461	NR2F6	297	K562	True
chr1	1552145	1552595	NR2F6	525	K562	True
chr1	1678833	1679305	NR2F6	1000	HepG2,K562	True
chr1	1724131	1724571	NR2F6	1000	HepG2,K562	True
chr1	1775345	1776015	NR2F6	311	K562	True
chr1	1780458	1780681	NR2F6	1000	K562	True
chr1	1846920	1847370	NR2F6	416	K562	True
chr1	1855612	1856062	NR2F6	407	K562	True
chr1	1869456	1869906	NR2F6	269	K562	True
chr1	1883451	1883711	NR2F6	1000	K562	True
chr1	1897213	1897408	NR2F6	756	K562	True
chr1	1906109	1906573	NR2F6	806	HepG2,K562	True
chr1	1989062	1989512	NR2F6	416	K562	True
chr1	2109206	2109656	NR2F6	595	K562	True
chr1	2193332	2193795	NR2F6	363	HepG2,K562	True
chr1	2271964	2272301	NR2F6	1000	HepG2,K562	True
chr1	2312500	2312950	NR2F6	223	K562	True
chr1	2499305	2499755	NR2F6	245	K562	True
chr1	2544108	2544558	NR2F6	190	K562	True
chr1	2585672	2586514	NR2F6	704	HepG2,K562	True
chr1	3245728	3246168	NR2F6	834	HepG2,K562	True
chr1	3453113	3453570	NR2F6	656	HepG2,K562	True
chr1	3604525	3605177	NR2F6	386	K562	True
chr1	3666422	3666890	NR2F6	526	HepG2,K562	True
chr1	3739342	3739792	NR2F6	226	K562	True
chr1	3740003	3740453	NR2F6	157	K562	True
chr1	3773865	3774599	NR2F6	398	HepG2,K562	True
chr1	3774847	3775138	NR2F6	1000	K562	True
chr1	3793391	3793841	NR2F6	373	K562	True
chr1	3900282	3900848	NR2F6	1000	HepG2,K562	True
chr1	3909285	3909457	NR2F6	744	K562	True
chr1	3913199	3913649	NR2F6	368	K562	True
chr1	4113829	4114301	NR2F6	668	HepG2,K562	True
chr1	4175908	4176020	NR2F6	819	K562	True
chr1	5885781	5886111	NR2F6	1000	K562	True
chr1	5993713	5994012	NR2F6	1000	K562	True
chr1	6045077	6045867	NR2F6	593	HepG2,K562	True
chr1	6070188	6070406	NR2F6	727	K562	True
chr1	6204995	6205445	NR2F6	269	K562	True
chr1	6234970	6235627	NR2F6	271	HepG2,K562	True
chr1	6280744	6281194	NR2F6	307	HepG2,K562	True
